,,,Bandar Kuota,,,,,,
,,,Saldo Stock,,,,,,
,,,,,,,,,,,,,
,Group,,,,,,,,,,,,,
,VOUCHER,,,,,,,,,,,,,
,Merk,Model,,,,,,,,,,
,VOUCER AXIS,< kosong >,,,,,,,,,,
002016,V. INDOSAT 7 GB FI 28H,5 PCS,5 PCS,5 PCS,9 PCS,6 PCS,8 PCS,6 PCS,8 PCS,
TOTAL,10.00,8.00,7.00,10.00,8.00,10.00,7.00,9.00,
Kode Item,Nama Item,ASBER 2 (C),BK CIJAMBE ,BK JH1 ,BK JH2 (C),BK5 CIGER ,BK6 ,BK7 ,BK8 BAKSAR ,
001353,V. INDOSAT 9 GB FI 28H,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,
001360,V. INDOSAT 16 GB FI,2 PCS,1 PCS,1 PCS,2 PCS,2 PCS,3 PCS,1 PCS,2 PCS,
002016,V. INDOSAT 7 GB FI 28H,8 PCS,5 PCS,10 PCS,12 PCS,10 PCS,11 PCS,8 PCS,8 PCS,
TOTAL,10.00,6.00,11.00,14.00,12.00,14.00,9.00,10.00,
Kode Item,Nama Item,BK9 BAKSAR ,BKC ,BUNISARI ,CICUKANG ,CIHAURKUK,CIKADUT 2,CIPADUNG 2 ,CIPAGALO ,
001353,V. INDOSAT 9 GB FI 28H,0 PCS,0 PCS,0 PCS,0 PCS,,,0 PCS,,
001360,V. INDOSAT 16 GB FI,3 PCS,3 PCS,4 PCS,3 PCS,3 PCS,1 PCS,2 PCS,2 PCS,
002016,V. INDOSAT 7 GB FI 28H,6 PCS,10 PCS,9 PCS,6 PCS,6 PCS,4 PCS,6 PCS,11 PCS,
TOTAL,9.00,13.00,13.00,9.00,9.00,5.00,8.00,13.00,
Kode Item,Nama Item,CIPOREAT,CISA (C),CK (C),CL 1 ,CL 2 ,CL 3 ,CL 4 ,DM (C),
001353,V. INDOSAT 9 GB FI 28H,,0 PCS,0 PCS,0 PCS,,,,0 PCS,
001360,V. INDOSAT 16 GB FI,2 PCS,3 PCS,1 PCS,1 PCS,0 PCS,2 PCS,2 PCS,2 PCS,
,,,,,Bee Accounting,,,,,,,,
,13/08/2026,,,,,,,,
Kode Item,Nama Item,CIPOREAT,CISA (C),CK (C),CL 1 ,CL 2 ,CL 3 ,CL 4 ,DM (C),
002016,V. INDOSAT 7 GB FI 28H,3 PCS,10 PCS,3 PCS,6 PCS,9 PCS,5 PCS,8 PCS,12 PCS,
TOTAL,5.00,13.00,4.00,7.00,9.00,7.00,10.00,14.00,
Kode Item,Nama Item,Gudang,PC 3 (A),PC 4 (C),PC 5 (C),PD 1 (C),PD 2 (C),PD 3 (C),RK (C),
001353,V. INDOSAT 9 GB FI 28H,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,0 PCS,
001360,V. INDOSAT 16 GB FI,0 PCS,2 PCS,0 PCS,2 PCS,2 PCS,2 PCS,2 PCS,2 PCS,
002016,V. INDOSAT 7 GB FI 28H,0 PCS,7 PCS,4 PCS,7 PCS,6 PCS,6 PCS,7 PCS,9 PCS,
TOTAL,0.00,9.00,4.00,9.00,8.00,8.00,9.00,11.00,
Kode Item,Nama Item,SA (C),SS (C),TOTAL,,,,,,,
001353,V. INDOSAT 9 GB FI 28H,0 PCS,0 PCS,5 PCS,,,,,,,
001360,V. INDOSAT 16 GB FI,1 PCS,2 PCS,75 PCS,,,,,,,
002016,V. INDOSAT 7 GB FI 28H,8 PCS,10 PCS,302 PCS,,,,,,,
TOTAL,9.00,12.00,382.00,,,,,,,
,Merk,Model,,,,,,,,,
,VOUCER INDOSAT HARIAN,< kosong >,,,,,,,,,
Kode Item,Nama Item,ALFA 1 (C),ALFA 2 (C),ALFA 3 (C),ALFA 4 (C),ALFA 5 (C),ALFA 6 (C),ALFA 7 ,ASBER 1 (C),
001354,V. INDOSAT 4 GB 5HR/ 2.5 gb 5hr,34 PCS,35 PCS,27 PCS,28 PCS,44 PCS,18 PCS,19 PCS,26 PCS,
001356,V. INDOSAT 6 GB 2HR/ 5 gb 2hr,4 PCS,24 PCS,22 PCS,25 PCS,11 PCS,7 PCS,17 PCS,6 PCS,
001357,V. INDOSAT 9 GB 5HR/5/6 gb 5hr,5 PCS,9 PCS,3 PCS,11 PCS,17 PCS,9 PCS,7 PCS,13 PCS,
001358,V. INDOSAT 9 GB 7HR/ 7 gb 7hr,7 PCS,8 PCS,11 PCS,6 PCS,15 PCS,9 PCS,11 PCS,8 PCS,
002252,V. INDOSAT 6 GB 5HR/3.5/4gb 5hr,8 PCS,7 PCS,0 PCS,7 PCS,16 PCS,7 PCS,5 PCS,8 PCS,
002602,V. INDOSAT 5 GB 1HR/2gb 1hr,20 PCS,20 PCS,14 PCS,14 PCS,25 PCS,3 PCS,14 PCS,16 PCS,
TOTAL,78.00,103.00,77.00,91.00,128.00,53.00,73.00,77.00,
